,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
46,50,1.665173765696379,1.6706612184455099,1.6224110703708228,1.7022309542937328,1.5165271165189471,1.6714679082965853,1.7259112766968279,1.7590907659669068,1.785955469029287,1.6087228553305883
47,51,1.6859937069779614,1.6707538799231332,1.6239215601105668,1.699916175718966,1.5401298445450553,1.7456391354645695,1.81504724280379,1.7630541354179234,1.7821097304273157,1.6146240121103608
48,52,1.7089195562238433,1.6708830976333748,1.62617616575677,1.6977056420049743,1.5652922093164856,1.8391557096922537,2.0084447885062713,1.7672099861514317,1.7783196781445616,1.6217398317879594
49,53,1.7352888416813639,1.6710464047719944,1.6292120396934775,1.6955953284667848,1.5979853506130561,2.015377547107514,2.255255567129793,1.771573741814169,1.7745879003717993,1.6302512150024107
50,54,1.7630827126075144,1.671241506611844,1.6329971616130943,1.693581371637088,1.6297682146792127,2.1576731417674306,2.4313086506445916,1.7761574236599271,1.7709166379954455,1.640051554822612
51,55,1.789566103576054,1.6714662653453236,1.6374278242532132,1.691660068278607,1.6651508858646256,2.271215899778559,2.564271783887249,1.7809698357476464,1.7673078563345177,1.6510401174931881
52,56,1.8139777252784464,1.6717186864890066,1.6423990293516153,1.6898278716163149,1.6927966612274168,2.370918639560551,2.642987219236394,1.7860167566474405,1.7637632930931426,1.6629931234812483
53,57,1.8353155924581803,1.6719969066997293,1.647770499276916,1.6880813858119035,1.7159823598291688,2.4387167790467266,2.6661954899307827,1.791301129285818,1.7602844892347005,1.6757091937606683
54,58,1.8538299125998134,1.6722991828590983,1.6534154921726003,1.6864173594190977,1.7301223528626264,2.4618646351297633,2.6556039812634173,1.7968232433452496,1.7568728079617533,1.6891469467020919
55,59,1.8707621705315358,1.672623882291227,1.659258195884288,1.6848326783435286,1.7373255745425162,2.472923279446819,2.6333834076010763,1.8025809068294973,1.7535294457489534,1.703081303593243
56,60,1.8856805458864334,1.6729694739910392,1.6652241417073057,1.68332435867253,1.7395426187386605,2.4749869529876642,2.5966541277051247,1.808569605087932,1.7502554383743838,1.7175859242015783
